FAC3_1,FAC4_1,FAC5_1,FAC6_1,FAC7_1,FAC8_1,FAC9_1,FAC10_1,FAC11_1,FAC12_1,FAC13_1,FAC14_1,FAC15_1,FAC16_1,FAC17_1,FAC18_1,FAC19_1,FAC20_1,FAC21_1,FAC22_1,FAC23_1,FAC24_1,FAC25_1,FAC26_1,FAC27_1,FAC28_1,FAC29_1,FAC30_1,y
-1.62103,3.28268,-0.64120,0.42777,3.00330,21.89931,9.78076,-0.97680,-6.12014,-0.36413,-1.89046,3.16165,-0.40855,1.52950,0.62222,4.03971,-1.97909,-5.04858,-2.21887,4.74914,-1.43517,-3.16217,2.54812,6.55587,-4.81388,0.96662,-0.04229,-4.65647,0
-4.13771,1.55183,4.43882,0.07696,-2.70881,-13.75552,-4.02103,-1.35215,4.50128,-1.65615,7.69642,4.09915,2.10870,3.35825,-0.82037,0.01006,2.06667,-4.32334,-2.29019,2.83674,-1.29561,-2.02488,1.81324,7.16736,-4.78546,1.26120,0.51665,-0.88701,0
-1.61690,0.68239,-3.87465,-6.01384,6.30248,0.14494,6.15355,-2.11372,1.97964,-0.91373,3.29422,11.75764,12.38943,7.20711,9.08380,4.90863,4.21857,-7.41594,-5.78658,-8.56246,5.51205,3.14405,-4.58147,-9.91680,3.55377,0.90666,-1.90892,6.55399,0
0.51065,4.36288,-1.77052,0.78560,1.09471,0.28188,-2.37007,4.51751,0.61904,8.91213,-1.39900,2.32462,5.55637,2.93900,-3.69833,-0.63788,0.38861,4.58120,1.63302,-0.08924,-1.35076,-0.92278,2.38016,1.12038,-1.72434,-0.60099,0.37513,0.61708,1
-4.08800,0.88643,1.73916,-0.09262,0.86689,5.51725,-0.90776,1.81582,-0.54065,-1.73530,-3.06688,-3.86310,-4.24381,-6.18386,-3.15889,-0.88760,-2.51883,8.10446,4.91069,-4.98232,0.34390,0.86979,-1.80736,-10.53498,5.70336,-4.35904,-4.68745,2.71459,0
-1.38413,4.30842,-0.20126,0.39653,2.45839,-0.15461,-2.51043,2.90216,-0.38380,7.88114,-2.75360,1.76548,5.07396,3.56234,-1.63637,-0.08866,1.06191,4.63087,2.07197,-0.74342,-1.81947,-0.05002,1.00360,1.16516,0.71926,-0.96254,-0.45904,-1.65293,1
-2.40977,1.00089,1.13063,-0.10175,-0.65430,-5.53939,-0.99799,-0.00074,0.54637,-0.80017,3.29762,0.98963,-1.58607,0.50888,-2.18053,-0.14591,1.39871,1.18212,2.08810,1.66266,1.35422,1.37063,1.17500,-4.08004,1.19630,-3.58383,-3.43921,0.51069,0
-4.21447,0.45081,3.23632,1.08990,-1.06638,1.54601,-0.68080,-1.24885,0.34397,-0.68603,-0.08815,-6.02994,-0.57879,-4.70955,-0.01881,-2.58830,-1.34092,5.13146,3.41597,-10.14271,-2.03058,-2.59049,2.70643,3.28581,1.23076,3.57793,6.47664,-1.38663,0
-1.64827,0.13824,2.40735,1.13109,-1.08920,-3.13760,-2.64720,0.68837,0.10491,-0.74138,0.96699,0.21074,-0.34376,0.49357,-0.34849,-0.75055,-0.30679,2.46866,-3.39578,2.51510,1.34668,1.63850,-2.07130,-1.14854,-0.68093,0.78485,1.47995,-2.08135,0
-1.03466,1.01742,0.84326,0.29698,0.07309,-2.64047,0.05454,0.73667,0.53738,0.80768,0.57975,0.79411,1.36273,-0.15756,-0.14046,0.31256,0.85818,-1.31800,-0.08739,1.35638,0.90248,0.28481,0.76331,2.87813,-0.03841,-0.31244,0.32149,0.77815,1
-0.42738,0.92288,-0.43782,0.25588,1.43168,1.48339,0.13536,1.46994,-0.76813,0.84392,-0.34407,-2.10883,2.25193,1.69401,-1.26565,-1.07961,0.41467,1.10094,-0.41955,-0.18372,-0.99204,-0.74734,1.65714,3.30927,0.95778,0.40710,2.11503,4.14700,0
