Z@0,Z@1,Z@2,Z@3,Z@4,Z@5,Z@6,Z@7,Z@8,Z@9,Z@10,Z@11,Z@12,Z@13,Z@14,Z@15,Z@16,Z@17,Z@18,Z@19,Z@20,Z@21,Z@22,Z@23,Z@24,Z@25,Z@26,Z@27,Z@28,Z@29,Z@30,Z@31,Z@32,Z@33,Z@34,Z@35,Z@36,Z@37,Z@38,Z@39,Z@40,Z@41,Z@42,Z@43,Z@44,Z@45,Z@46,Z@48,Z@49,Z@50,Z@52,Z@53,Z@54,Z@55,Z@56,Z@57,Z@58,Z@59,Z@60,Z@61,Z@62,Z@63,Z@64,Z@65,Z@66,Z@67,Z@68,Z@69,Z@70,Z@71,Z@72,Z@73,Z@74,Z@75,Z@76,Z@77,Z@78,Z@79,Z@80,Z@81,Z@82,Z@83,Z@84,Z@85,Z@86,Z@87,Z@88,Z@89,Z@90,Z@91,Z@92,Z@93,Z@94,Z@95,Z@96,Z@97,Z@98,Z@99,Z@100,Z@101,Z@102,Z@103,Z@104,Z@105,Z@106,Z@107,Z@108,Z@109,Z@110,Z@111,Z@112,Z@114,Z@115,Z@116,Z@118,Z@119,Z@120,Z@121,Z@122,Z@123,Z@124,Z@125,Z@126,Z@127,Z@128,Z@129,Z@130,Z@131,Z@132,Z@133,Z@134,Z@135,Z@136,Z@137,y
-0.55219797,-0.65034119,-1.059507703,-1.123485714,-1.333678485,-0.143015273,0.084932823,0.085367697,0.133104328,0.124845861,0.075543689,1.08210286,2.20478235,1.392254186,2.164803433,0.870505011,0.628365989,-1.541962883,-2.330342829,-0.701876617,-1.637480711,-2.022351045,0.655020774,-0.277220278,0.351798063,0.449347877,-0.524374614,-0.461330632,0.109458902,0.347247361,0.480302304,0.190628197,0.517657198,0.246325733,0.469541982,0.097706972,0.443818554,0.262664746,-0.191340497,-0.27801839,0.249843162,0.335372315,-0.229925303,-0.057855746,0.30165984,0.308195771,0.480030877,0.791955441,0.791955441,-0.699460851,-1.314338695,-1.314338695,-0.348778959,0.024065427,-0.227013365,-0.124331789,0.01592793,0.041770472,-0.268792364,-0.193211959,-0.347291815,0.165396367,-0.082166581,-0.157376612,-0.209839012,-0.113200144,-0.668153892,-0.822132491,-0.930189365,0.231188333,0.427179338,0.072996277,0.045293778,0.236172894,0.072523023,0.075614631,2.576008306,1.094240393,11.74503696,0.650950353,0.465050911,-1.601936209,-2.410809416,-0.814546421,-1.255922325,-1.510280902,0.239177312,-0.296737927,0.389274239,0.495077981,-1.830413982,-0.635673279,-0.163491169,0.309081701,-0.38386232,-0.822224511,0.635179572,0.996950255,-0.351464583,-0.669784906,0.490648061,0.785914094,0.567197112,-0.424691872,0.350138319,0.497131783,-0.104916078,-0.0869659,0.429896483,0.442092188,3.231307113,1.172959814,1.172959814,-0.494788251,-0.876886115,-0.876886115,-0.626495575,-1.366420164,-0.04405216,0.979818722,1.294208912,0.04410199,-0.2114758,-0.165641467,-0.579117986,-1.318873295,-0.185257463,0.875784334,0.71400607,-0.880488475,1.484488705,-0.850892522,1.304939204,0.270907961,0
0.93521199,3.105894051,0.847924599,-0.274314808,-0.154964486,0.089679378,-0.257774301,-0.198628498,0.111495968,-0.227104195,-0.202991534,-0.037481078,-0.101447736,-0.165431321,-0.048419275,-0.170587547,-0.182117598,0.135760259,0.339813088,-0.701876617,-0.286257915,0.515609888,-0.380493263,-0.277220278,0.351798063,0.449347877,-0.31756495,-0.461330632,0.512321468,0.613318573,-0.439340344,-0.667915338,0.517657198,0.791290143,-0.44039418,-0.535011687,0.550178752,0.726099747,-0.052666944,-0.27801839,0.249843162,0.335372315,-0.330962615,-0.057855746,0.30165984,0.308195771,-0.248195268,0.791955441,0.791955441,-0.5383151,0.760203804,0.760203804,0.154299339,-0.832282525,0.648870729,0.907174325,-0.270841135,-0.487764186,0.477184282,0.586666499,0.145011129,-0.897129568,0.815771503,1.025827224,-0.071790063,0.503592394,0.030927647,0.9718834,1.099622765,0.146363929,-0.227612822,-0.219490067,-0.184801059,-0.213722198,-0.217357746,-0.043837568,-0.179661262,-0.203665453,-0.239117741,-0.200931355,-0.192876763,0.797738775,0.563755179,0.104888201,-0.442825029,0.406706406,-0.897447998,-0.296737927,0.389274239,0.495077981,-0.475101085,-0.635673279,0.702390444,0.865726134,-0.968534109,-0.822224511,0.635179572,0.996950255,-0.98278997,-0.669784906,0.695437322,0.938616537,-0.232967573,-0.424691872,0.350138319,0.497131783,-0.219322134,-0.0869659,0.429896483,0.442092188,-0.005532214,1.172959814,1.172959814,-0.323005388,1.139447025,1.139447025,-0.601447911,-1.366420164,0.927257425,1.450792173,-0.514796083,-0.618395616,0.683746843,0.818188367,-0.620227701,-1.435254858,1.032710478,1.546608497,-0.146247975,0.260171372,-0.853227323,1.910512287,-0.76567956,-1.006120799,0
0.145974052,0.084959576,2.119546133,0.574856097,0.434392513,1.593782715,0.318658588,0.009367318,-1.098596823,0.023493989,0.080233238,0.162881223,-0.00364812,0.082758724,-0.048419275,0.117075306,0.128487773,-0.866564105,0.339813088,-0.701876617,-0.610763604,0.515609888,-0.625702907,-0.277220278,0.351798063,0.449347877,0.652717095,-0.461330632,0.512321468,0.613318573,-0.402112797,0.190628197,0.517657198,0.246325733,-0.397296293,0.160978837,0.337458357,0.146805996,0.072594626,-0.27801839,0.249843162,0.335372315,-0.235378385,-0.057855746,0.30165984,0.308195771,-0.08870025,0.791955441,0.791955441,-0.338527249,0.760203804,0.760203804,0.651490246,0.024065427,0.210928682,0.081969434,-0.666898701,-0.487764186,0.477184282,0.586666499,0.627867513,0.007641424,0.133338559,0.056535946,-0.190117734,0.925118952,-0.842924277,-1.719140436,-1.606793409,2.010308729,-0.161087056,-0.110616901,-0.184801059,-0.124974752,-0.108204653,0.273490165,0.04814043,0.043764189,-0.23892611,0.022151401,0.057299255,0.162180921,-0.351495465,1.637279238,-1.617984728,-1.318582171,-0.940910147,-0.296737927,0.389274239,0.495077981,0.475497179,-0.635673279,0.702390444,0.865726134,-0.700466199,0.016451491,0.635179572,0.458835182,-0.721359471,-0.182816423,0.490648061,0.480509209,-0.351937561,-0.424691872,0.350138319,0.497131783,-0.134573802,-0.0869659,0.429896483,0.442092188,-0.389084276,1.172959814,1.172959814,-0.355255805,1.139447025,1.139447025,0.423541216,0.347685968,0.927257425,0.194862972,0.02610398,-0.618395616,0.683746843,0.818188367,0.424463207,0.391583011,0.866380055,0.130137476,0.427254722,-0.310158552,-0.970113125,1.881847185,1.304939204,1.091855021,0
-0.218289612,-0.455442192,0.847924599,-0.274314808,-0.154964486,-0.295056812,-0.263359666,-0.217046993,0.113656415,-0.22802919,-0.221286054,-0.186040608,-0.06697861,-0.147453873,-0.03200064,-0.155448969,-0.16806823,1.635886855,0.339813088,1.432255838,0.940188224,-0.070073404,-0.213913838,-0.277220278,0.351798063,0.449347877,-0.02758511,-0.461330632,0.310890185,0.480282967,-0.171006682,-0.23864357,0.517657198,0.518807938,-0.205415675,-0.471739822,0.550178752,0.687480163,-0.73092793,-0.27801839,0.249843162,0.335372315,-0.648781052,-0.057855746,0.30165984,0.308195771,-0.145254341,0.791955441,0.791955441,-0.699460851,-1.314338695,-1.314338695,-1.043295405,1.451312013,-0.664955412,-1.362139125,-3.369276804,-0.222996857,0.477184282,0.430690808,-1.150634859,1.357838136,-0.750232516,-1.327210912,-0.150675177,-0.128697444,-0.318613122,-0.822132491,-0.930189365,-0.316632875,-0.172998265,-0.192191342,0.039252612,-0.180640018,-0.19325827,-0.060549877,-0.113254483,-0.185975961,0.112495551,-0.17462214,-0.194191327,0.636975589,1.021380502,0.104888201,1.963442612,0.790103867,0.639007896,-0.296737927,0.389274239,0.495077981,0.969397514,-0.635673279,0.702390444,0.865726134,0.845804533,0.016451491,0.635179572,0.458835182,0.90290581,0.060667818,0.746634637,0.51868482,0.977452915,1.660475597,0.350138319,-0.975214016,0.54013934,-0.0869659,0.429896483,0.442092188,2.539563222,1.172959814,1.172959814,5.574873097,1.139447025,1.139447025,0.89493907,0.990475768,-0.367822022,-0.904075079,-0.583571618,0.872223998,0.385339295,-0.26402445,0.873528857,0.962910684,-0.448166842,-0.919960349,0.140503374,-1.165653437,-0.736341522,0.391261891,-0.76567956,0.179691621,0
-0.461132054,-0.65034119,-0.423696936,-1.123485714,-1.333678485,-0.066925277,0.241967907,-0.103702407,0.116249471,0.000213302,-0.109731206,-0.210541862,-0.040203213,0.0112756,-0.048419275,0.061542632,0.03902793,-1.648805627,-2.330342829,-0.701876617,-1.546676455,-2.022351045,-0.426969921,-0.277220278,0.351798063,0.449347877,1.262210449,-0.461330632,0.109458902,0.347247361,-0.048607054,-0.667915338,0.133661332,0.518807938,-0.048188449,-0.535011687,-0.034802335,0.301284329,0.005356401,-0.27801839,0.249843162,0.335372315,0.838879035,-0.057855746,0.30165984,0.308195771,0.480030877,0.791955441,0.791955441,-0.699460851,-1.314338695,-1.314338695,-0.917829147,-0.261383891,-0.227013365,0.081969434,1.050570192,1.365607117,-1.263427892,-1.596993183,-0.880916522,-0.326427865,-0.118084105,0.180204144,-0.190117734,-0.119399064,-0.493383507,-0.822132491,-0.930189365,-0.057123766,0.157783799,-0.108995226,-0.184624219,-0.058295507,-0.10658139,-0.053777219,0.022236459,-0.047697352,0.087893764,-0.039937051,-0.053028557,-1.624816296,-0.122682804,-0.814546421,0.114396713,0.406706406,0.271486854,-0.296737927,0.389274239,0.495077981,1.377899752,-0.635673279,0.356037798,0.643068361,0.689301478,0.435789492,0.271090994,-0.079279892,0.691128993,0.608507361,0.081069538,-0.321178614,0.021610176,-0.424691872,0.350138319,0.497131783,0.082736408,-0.0869659,0.429896483,0.442092188,0.632027049,1.172959814,1.172959814,-0.494788251,-0.876886115,-0.876886115,-1.114656424,0.776212501,-2.957980915,-2.00301313,-3.059831932,-0.618395616,-2.449532406,-1.247854284,-1.22646883,0.712513988,-2.900199216,-1.915876221,-0.719750672,1.115666256,-0.853227323,-0.516466334,1.304939204,1.000638681,0
0.085263441,-0.101080377,1.483735366,1.424027003,3.381177509,-0.107855026,-0.200319443,-0.103702407,0.111836091,-0.12455515,-0.109445978,-0.160552027,-0.082910421,-0.084871747,-0.048419275,-0.116361517,-0.081298743,-0.151966528,2.188382569,-0.701876617,1.430667902,2.272659764,0.277628843,-0.277220278,0.351798063,0.449347877,-0.281195579,-0.461330632,0.512321468,0.613318573,0.160896006,-0.667915338,0.517657198,0.791290143,0.176996784,-0.535011687,0.603358851,0.76471933,0.347660092,-0.27801839,0.249843162,0.335372315,-0.465895087,-0.057855746,0.30165984,0.308195771,-0.161864632,0.791955441,0.791955441,-0.240090806,0.760203804,0.760203804,-1.248446136,-0.261383891,0.648870729,0.49457188,-0.327306143,-0.222996857,0.477184282,0.430690808,-1.255696338,-0.331067716,0.672101409,0.551208736,0.007095051,0.004579336,0.730009187,5.456923126,6.512455114,-0.256840796,-0.23202325,-0.194131475,-0.183034438,-0.198322236,-0.191959733,-0.054947263,-0.160833915,-0.112133253,-0.239163601,-0.148816527,-0.100322214,0.256061404,0.334942518,-0.814546421,0.51762645,0.790103867,1.148595895,-0.296737927,0.389274239,0.495077981,0.026638427,-0.635673279,0.702390444,0.865726134,1.082093459,-0.40288651,0.635179572,0.727892718,1.070963998,-0.608913846,0.746634637,0.938616537,-0.208726466,-0.424691872,0.350138319,0.497131783,-0.216219759,-0.0869659,0.429896483,0.442092188,0.247313864,1.172959814,1.172959814,0.457315495,1.139447025,1.139447025,0.104097223,-0.080840565,0.927257425,0.508845272,0.583814433,-0.618395616,0.683746843,0.818188367,0.125439342,-0.165637806,0.871745552,0.540372252,-0.432999323,1.68599618,1.367602903,-0.354030757,1.304939204,-0.641255439,0
-0.370066139,-0.552891691,-0.423696936,-0.274314808,-0.744321486,-0.275580366,-0.230215631,-0.1603747,0.111495968,-0.172049913,-0.165285213,-0.239798625,-0.100843864,-0.182101154,-0.048418906,-0.173359265,-0.202979784,0.344222491,0.134416479,2.143633323,-0.490831062,-0.460528933,1.463541292,-0.277220278,0.351798063,0.449347877,0.572419469,-0.238118153,0.310890185,0.347247361,1.533035348,0.619899965,0.517657198,-0.026156472,1.512605886,0.414066301,0.550178752,0.146805996,-0.319950006,-0.27801839,-1.224600719,-0.543787495,-1.298729632,-0.057855746,-3.312225041,-3.241982435,-0.571585167,-1.2616433,-1.2616433,-0.699460851,-1.314338695,-1.314338695,-0.324588568,-0.261383891,0.210928682,0.288270657,-0.689829179,-0.222996857,-1.01476901,-0.505163342,-0.346257956,-0.154753369,-0.024698544,0.099986935,-0.209839012,0.109960975,-0.842924277,-1.719140436,-0.930189365,-0.311904998,-0.25456361,-0.187147551,-0.18266468,-0.211835459,-0.184963248,-0.049387341,-0.160917498,-0.18263307,-0.227850507,-0.189395316,-0.172225328,1.750848859,0.334942518,-0.814546421,-0.931664483,0.790103867,-0.020059251,-0.296737927,0.389274239,0.495077981,-0.378659873,-0.635673279,0.702390444,0.865726134,-0.135035617,-0.822224511,0.635179572,0.996950255,-0.139468624,-0.669784906,0.746634637,0.976792147,-0.074870455,-0.424691872,0.350138319,0.497131783,0.520408236,-0.0869659,0.429896483,0.442092188,0.106252376,1.172959814,1.172959814,0.504920674,1.139447025,1.139447025,-0.478388212,0.133422702,0.603487564,0.194862972,-0.425292262,-0.287146813,0.534543069,0.523039417,-0.493904324,0.127079459,0.726877119,0.256562029,0.427254722,-0.310158552,1.250717102,0.085500805,1.304939204,1.091855021,0
-0.461132054,-0.659200236,-0.423696936,-0.274314808,-0.154964486,-0.305847325,-0.248566379,-0.225856418,0.112787742,-0.228482594,-0.22991326,-0.251247102,-0.110658281,-0.190745983,-0.048419117,-0.18877095,-0.213798524,-0.456364282,-0.276376739,-0.701876617,-0.035771427,-0.070073404,-1.288146188,-0.277220278,0.351798063,0.449347877,0.86832734,0.208306804,0.512321468,0.214211756,-0.943502793,0.190628197,0.517657198,0.246325733,-0.964974744,-0.02883676,0.550178752,0.417143079,-0.514485399,-0.27801839,0.249843162,0.335372315,-0.153582132,-0.057855746,0.30165984,0.308195771,-0.571585167,-1.2616433,-1.2616433,1.827074397,0.760203804,0.760203804,0.889867877,1.165862695,0.648870729,-0.536934234,-1.330628545,-0.487764186,-0.020133482,0.274715116,0.843870317,1.218642599,0.391944727,-0.69550039,-0.190117734,-0.122498524,-0.493383507,0.074875455,-0.253585322,-0.343694927,-0.231981063,-0.216890189,-0.166940142,-0.20658885,-0.215011813,-0.062522282,-0.182613684,-0.21768365,-0.21075213,-0.194607421,-0.20860016,-1.476095734,-2.410809416,-0.201590006,-1.699278224,-1.893678363,-1.093591303,-0.296737927,0.389274239,0.495077981,1.283944237,0.902094119,0.702390444,-0.136233846,-0.62979569,0.016451491,0.635179572,0.458835182,-0.621407794,-0.121945363,0.695437322,0.595036041,0.154596992,0.617891863,0.350138319,-0.239041117,0.204710522,-0.0869659,0.429896483,0.442092188,-0.457993624,-0.851832487,-0.851832487,0.719144018,1.139447025,1.139447025,0.778594068,1.204739034,-0.691591883,-1.218057379,-1.710239936,-0.452771215,-2.300328632,-1.247854284,0.715990472,1.230940951,-0.737903709,-1.25537243,0.71400607,-1.165653437,-0.736341522,-0.707567012,1.304939204,-0.458822759,0
-0.55219797,-0.685777372,-1.059507703,-1.123485714,-1.333678485,-0.197119506,0.067875752,-0.1603747,0.12878257,-0.126774753,-0.166402409,-0.249603043,-0.10578582,-0.162343103,-0.04792654,-0.151497543,-0.178506312,-2.073748361,-2.12494622,-0.701876617,-1.590515439,-1.827123281,-0.38481444,-0.277220278,0.351798063,0.449347877,0.615666553,1.101156719,-0.09197238,-0.717037484,-0.186844727,-0.23864357,0.133661332,0.246325733,-0.18425314,-0.092108626,0.124737961,0.146805996,0.041119473,1.033265196,0.249843162,-0.543787495,0.887461049,-0.057855746,0.30165984,0.308195771,-0.571585167,-1.2616433,-1.2616433,-0.699460851,-1.314338695,-1.314338695,-4.579898528,-0.261383891,-2.854665647,-1.155837903,-2.00494419,2.424676433,-4.247334477,-4.092604248,-4.632806853,-0.30786846,-2.76879733,-1.066504982,-0.190117734,-0.116299604,-0.493383507,-1.719140436,-1.606793409,-0.208825354,-0.067907612,-0.168792434,0.172451216,-0.152243334,-0.171742864,-0.060236785,-0.136574566,-0.18905718,-0.138252808,-0.174449455,-0.18361383,-1.203441369,-2.181996755,0.104888201,-1.699278224,-1.893678363,-0.131036191,-0.296737927,0.389274239,0.495077981,0.126861647,0.389504986,0.009685153,-0.247562733,-0.055951157,-0.40288651,0.271090994,0.458835182,-0.078726362,-0.304558544,0.132266854,0.289631156,-0.393973624,-0.424691872,0.350138319,0.497131783,-0.018908688,-0.0869659,0.429896483,0.442092188,-0.457993624,-0.851832487,-0.851832487,-0.494788251,-0.876886115,-0.876886115,0.765666847,-0.080840565,0.603487564,0.351854122,1.088021245,0.04410199,0.534543069,0.32627345,0.805396872,0.035384894,0.732242616,0.326224539,0.71400607,-0.02499359,-1.671427933,1.16521964,1.304939204,0.088475281,0
-0.49148736,-0.614905009,-0.847570781,-1.123485714,-0.744321486,0.419264567,0.922789412,0.321339791,0.111538754,0.816139365,0.309532358,-0.219607893,-0.068221996,0.228561627,-0.048400676,0.213269961,0.310947908,-1.803446442,-2.12494622,-0.701876617,-1.26607128,-1.827123281,0.036740376,-0.277220278,0.351798063,0.449347877,-0.519853902,-0.014905675,0.310890185,0.214211756,-0.125159722,-0.23864357,0.517657198,0.518807938,-0.110613361,-0.408467956,0.550178752,0.64886058,0.295225512,-0.27801839,0.249843162,0.335372315,-0.03304029,-0.057855746,0.30165984,0.308195771,-0.571585167,-1.2616433,-1.2616433,-0.699460851,-1.314338695,-1.314338695,-0.145434155,0.024065427,-0.227013365,-0.124331789,2.447177087,3.21897842,-0.268792364,-2.064920258,-0.064969553,-0.015557832,-0.175552142,-0.070474635,-0.170396455,-0.113200144,-0.318613122,-0.822132491,-0.930189365,-0.096917499,0.046761284,0.280986566,-0.113352033,0.28879442,0.283363072,-0.058614423,-0.109272451,0.111552305,-0.226361356,0.103773331,0.125156515,-1.266361607,-2.181996755,-0.814546421,-1.278673887,-1.318582171,0.416879794,-0.296737927,0.389274239,0.495077981,0.779286856,1.585546296,0.529214121,-0.69287828,0.599871163,0.016451491,0.635179572,0.458835182,0.633097837,0.182409939,0.695437322,0.404157988,0.567197112,-0.424691872,0.350138319,0.497131783,0.927172594,-0.0869659,0.429896483,0.442092188,-0.457993624,-0.851832487,-0.851832487,-0.494788251,-0.876886115,-0.876886115,0.357962138,0.776212501,-0.04405216,-0.590092779,-0.24200249,-0.287146813,-0.2114758,0.0311245,0.349084506,0.684300276,0.050824429,-0.476184364,-1.00650202,1.115666256,0.315630691,-0.248925383,1.304939204,1.912802081,0
