0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,y
2,15,2,2,2,212094,14140,116724,500,28938,116224,9201260,613418,735586,418852,117112,316734,5,6,0,3,6,5,3,5,2,14,1,29,28,17,11,22,11,113,71,149,78,3,0,6,6,1,0,1,1,1,0,1,1,0,0,0,0,13,3,21,18,30,2,56,54,786,233,1314,1081,2,13,2,2,2,566359,43567,120000,1289,48894,118712,7668301,589870,755478,365860,143759,389618,5,6,0,3,6,5,3,5,2,8,1,26,25,15,9,22,13,101,61,147,86,4,0,6,6,1,0,1,1,1,0,1,1,0,0,0,0,13,0,20,20,36,4,53,49,761,34,1204,1170,2018,3,28,42,1,40,0
12,31,11,5,7,634810,20478,100000,-100000,38780,200000,362732,11702,116300,1,25149,116300,11,45,0,9,45,5,3,5,2,19,1,30,29,18,12,20,8,117,77,137,60,4,1,6,5,1,0,1,1,1,0,1,1,1,0,1,1,12,3,16,13,33,0,59,59,711,185,978,793,84,98,17,4,4,638908,6520,52500,100,9019,52400,4819269,49177,173293,341,45663,172952,10,33,6,6,27,5,3,5,2,19,1,30,29,18,12,18,6,118,80,122,42,4,2,5,3,0,0,0,0,1,0,1,1,1,0,1,1,13,9,16,7,27,0,57,57,754,542,976,434,2018,2,27,155,0,39,1
7,23,6,5,5,1083610,47114,210000,1,66231,210000,3706,162,659,1,246,658,26,30,9,8,21,5,3,5,2,12,9,19,10,20,12,20,8,129,78,132,54,2,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,10,0,18,18,30,1,55,54,577,19,1111,1092,13,16,9,2,2,1082972,67686,200000,1,61250,199999,1234411,77151,210063,23,70691,210040,12,33,6,9,27,5,5,5,0,12,9,14,5,20,19,20,1,133,130,135,5,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,9,18,9,31,0,59,59,623,545,1111,566,2019,5,25,374,0,24,1
4,9,2,2,5,36106,4012,24400,-2,7914,24402,3440,383,3141,5,1036,3136,12,45,0,19,45,5,4,5,1,13,3,30,27,19,18,19,1,124,121,125,4,5,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,16,0,22,22,14,0,53,53,968,3,1339,1336,28,36,11,3,3,36237,1007,6000,10,1460,5990,347006,9640,24432,11,7754,24422,9,12,6,2,6,5,4,5,1,4,3,30,27,19,18,19,1,124,121,125,4,6,0,6,6,1,0,1,1,0,0,0,0,1,0,1,1,22,10,23,13,40,5,58,53,1323,654,1391,737,2017,1,17,0,0,30,1
1,54,2,2,5,117023,2168,10000,-5000,2716,15000,202576,3752,20074,0,5324,20074,1,6,0,2,6,5,5,5,0,24,20,26,6,22,21,22,1,145,141,147,6,4,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,4,0,23,23,26,2,49,47,233,2,1429,1427,18,23,8,2,2,117126,5093,20000,10,5065,19990,142091,6178,20074,10,5671,20064,14,45,6,15,39,5,5,5,0,24,20,27,7,22,21,22,1,145,141,148,7,3,0,6,6,1,0,1,1,0,0,0,0,0,0,0,0,3,0,5,5,24,7,50,43,168,9,341,332,2020,5,13,60,0,30,1
51,439,11,3,4,486030,1108,16500,1,2024,16500,1486330,3386,18672,0,3888,18672,18,45,0,10,45,4,3,5,2,15,1,31,30,15,9,22,13,100,61,151,90,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,0,23,23,29,0,59,59,852,4,1439,1435,9,212,6,4,5,485767,2292,7500,1,1950,7500,1075691,5075,21836,15,4448,21822,32,45,9,8,36,4,3,5,2,14,1,31,30,14,9,22,13,92,61,151,90,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,13,0,23,23,26,0,59,59,755,1,1431,1430,2015,7,8,331,0,26,0
25,98,17,4,5,2256710,23028,89903,-28000,21188,117903,2867005,29256,132900,0,35173,132900,10,45,0,8,45,4,3,5,2,19,1,31,30,16,11,22,11,101,72,147,75,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,15,3,22,19,27,0,59,59,916,199,1344,1145,3,348,1,1,1,2256707,6485,49377,1,11211,49377,18589124,53418,161696,20,40930,161676,25,33,24,1,9,4,3,5,2,18,1,31,30,15,11,22,11,96,69,147,78,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,15,8,23,15,29,0,59,59,916,519,1400,881,2017,5,7,328,1,49,0
13,37,11,3,4,33105,895,10000,50,1953,9950,462623,12504,26946,3108,5534,23839,29,45,9,16,36,4,3,5,2,16,1,30,29,16,10,22,12,103,62,151,89,3,0,6,6,1,0,1,1,1,0,1,1,0,0,0,0,12,8,20,12,15,1,59,58,678,490,1221,731,5,8,4,2,2,45872,5734,18000,1255,5402,16746,153333,19167,31835,10748,8751,21087,30,51,9,22,42,5,3,5,2,20,1,31,30,18,11,22,11,119,73,152,79,4,2,6,4,1,0,1,1,1,0,1,1,1,0,1,1,16,11,19,8,26,9,57,48,986,681,1155,474,2016,2,9,172,0,39,0
5,15,5,2,2,301669,20112,50000,110,19407,49890,293787,19586,100000,0,29133,100000,4,6,0,3,6,4,3,5,2,21,1,29,28,16,9,21,12,106,61,140,79,4,0,6,6,1,0,1,1,1,0,1,1,0,0,0,0,12,2,21,19,34,7,52,45,714,127,1309,1182,3,11,3,2,2,292433,26585,50000,1,18168,49999,527118,47920,109997,9997,30776,100000,5,36,0,11,36,5,3,5,2,22,1,29,28,18,12,21,9,116,82,139,57,4,0,6,6,1,0,1,1,1,0,1,1,0,0,0,0,11,10,11,1,12,0,38,38,661,610,698,88,2013,10,8,77,1,48,0
23,77,14,5,10,253486,3293,50000,8,9866,49993,638262,8290,55749,0,9785,55749,16,72,0,18,72,5,3,5,2,15,1,31,30,17,9,22,13,109,61,152,91,4,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,11,2,23,21,28,1,59,58,664,126,1419,1293,13,51,10,9,13,102681,2014,17254,10,3557,17244,462543,9070,73575,13,12971,73562,26,42,0,14,42,5,3,5,2,16,1,31,30,18,10,22,12,121,62,152,90,3,0,6,6,1,0,1,1,1,0,1,1,1,0,1,1,14,6,23,17,32,0,59,59,870,361,1401,1040,2014,12,27,94,1,30,0
